Timestamp,Congestion Event,cwnd,sshthresh
2007-06-28 21:05:32.092196,,2,1
2007-06-28 21:05:32.093306,Triple Duplicate,1,1
2007-06-28 21:05:32.093639,Triple Duplicate,1,1
2007-06-28 21:05:32.093757,Retransmission,1,1
2007-06-28 21:05:32.095395,,2,1
2007-06-28 21:05:32.096692,,3,1
2007-06-28 21:05:32.096904,Retransmission,1,1
2007-06-28 21:05:32.100165,,2,1
2007-06-28 21:05:32.101568,,3,1
2007-06-28 21:05:32.101800,Retransmission,1,1
2007-06-28 21:05:32.102084,,2,1
2007-06-28 21:05:32.102812,,3,1
2007-06-28 21:05:32.105573,,4,1
2007-06-28 21:05:32.105792,Retransmission,1,2
2007-06-28 21:05:32.106902,,2,2
2007-06-28 21:05:32.108251,,3,2
2007-06-28 21:05:32.108463,Retransmission,1,1
2007-06-28 21:05:32.110291,,2,1
2007-06-28 21:05:32.111624,,3,1
2007-06-28 21:05:32.111840,Retransmission,1,1
2007-06-28 21:05:32.114271,,2,1
2007-06-28 21:05:32.115366,,3,1
2007-06-28 21:05:32.115581,Retransmission,1,1
2007-06-28 21:05:32.120924,,2,1
2007-06-28 21:05:32.123206,Triple Duplicate,1,1
2007-06-28 21:05:32.123425,Triple Duplicate,1,1
2007-06-28 21:05:32.123657,Retransmission,1,1
2007-06-28 21:05:32.124403,Triple Duplicate,1,1
2007-06-28 21:05:32.124802,Triple Duplicate,1,1
2007-06-28 21:05:32.125656,Triple Duplicate,1,1
2007-06-28 21:05:32.126525,Triple Duplicate,1,1
2007-06-28 21:05:32.127070,,2,1
2007-06-28 21:05:32.127282,Retransmission,1,1
2007-06-28 21:05:32.127953,,2,1
2007-06-28 21:05:32.129283,,3,1
2007-06-28 21:05:32.129506,Retransmission,1,1
2007-06-28 21:05:32.131160,,2,1
2007-06-28 21:05:32.132403,Triple Duplicate,1,1
2007-06-28 21:05:32.132950,Triple Duplicate,1,1
2007-06-28 21:05:32.133173,Retransmission,1,1
2007-06-28 21:05:32.135778,Retransmission,1,1
2007-06-28 21:05:32.136310,Retransmission,1,1
2007-06-28 21:05:32.138411,,2,1
2007-06-28 21:05:32.138622,Retransmission,1,1
2007-06-28 21:05:32.139671,,2,1
2007-06-28 21:05:32.140953,,3,1
2007-06-28 21:05:32.142583,Retransmission,1,1
2007-06-28 21:05:32.145150,,2,1
