Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:02.067269,1,524178
Triple Duplicate,2020-04-21 16:34:02.067807,1,532938
Triple Duplicate,2020-04-21 16:34:02.067810,1,537318
Triple Duplicate,2020-04-21 16:34:02.067812,1,541698
Triple Duplicate,2020-04-21 16:34:02.067814,1,546078
Triple Duplicate,2020-04-21 16:34:02.067817,1,550458
Triple Duplicate,2020-04-21 16:34:02.067819,1,554838
Triple Duplicate,2020-04-21 16:34:02.067821,1,559218
Triple Duplicate,2020-04-21 16:34:02.070019,1,565058
Triple Duplicate,2020-04-21 16:34:02.070021,1,569438
Triple Duplicate,2020-04-21 16:34:02.070023,1,573818
Triple Duplicate,2020-04-21 16:34:02.070877,1,579658
Triple Duplicate,2020-04-21 16:34:02.070879,1,585498
Triple Duplicate,2020-04-21 16:34:02.070881,1,588418
Triple Duplicate,2020-04-21 16:34:02.070883,1,592798
Triple Duplicate,2020-04-21 16:34:02.070885,1,597178
Triple Duplicate,2020-04-21 16:34:02.070887,1,601558
Triple Duplicate,2020-04-21 16:34:02.072253,1,607398
Triple Duplicate,2020-04-21 16:34:02.072256,1,613238
Triple Duplicate,2020-04-21 16:34:02.072258,1,617618
Triple Duplicate,2020-04-21 16:34:02.072454,1,623458
Triple Duplicate,2020-04-21 16:34:02.195761,1,629298
Triple Duplicate,2020-04-21 16:34:02.195764,1,633678
Triple Duplicate,2020-04-21 16:34:02.195767,1,638058
Triple Duplicate,2020-04-21 16:34:02.195769,1,642438
Triple Duplicate,2020-04-21 16:34:02.195779,1,646818
Triple Duplicate,2020-04-21 16:34:02.196879,1,652658
Triple Duplicate,2020-04-21 16:34:02.196882,1,658498
Triple Duplicate,2020-04-21 16:34:02.196885,1,662878
Triple Duplicate,2020-04-21 16:34:02.200512,1,668718
Triple Duplicate,2020-04-21 16:34:02.200515,1,673098
Triple Duplicate,2020-04-21 16:34:02.200518,1,678938
Triple Duplicate,2020-04-21 16:34:02.200520,1,681858
Triple Duplicate,2020-04-21 16:34:02.200523,1,686238
Triple Duplicate,2020-04-21 16:34:02.200526,1,690618
Triple Duplicate,2020-04-21 16:34:02.200753,1,697918
Triple Duplicate,2020-04-21 16:34:02.200756,1,702298
Triple Duplicate,2020-04-21 16:34:02.201565,1,706678
Triple Duplicate,2020-04-21 16:34:02.201567,1,711058
Triple Duplicate,2020-04-21 16:34:02.201570,1,715438
Triple Duplicate,2020-04-21 16:34:02.203260,1,722738
Triple Duplicate,2020-04-21 16:34:02.203262,1,727118
Triple Duplicate,2020-04-21 16:34:02.203265,1,731498
Triple Duplicate,2020-04-21 16:34:02.203268,1,735878
Triple Duplicate,2020-04-21 16:34:02.203270,1,740258
Triple Duplicate,2020-04-21 16:34:02.203273,1,744638
Triple Duplicate,2020-04-21 16:34:02.203276,1,749018
Triple Duplicate,2020-04-21 16:34:02.203279,1,753398
