Timestamp,Event,cwnd,sstresh
2020-04-21 16:34:01.586062,,6,2
2020-04-21 16:34:01.586063,Triple Duplicate,6,3
2020-04-21 16:34:01.586063,,7,3
2020-04-21 16:34:01.586064,,8,3
2020-04-21 16:34:01.586065,,9,3
2020-04-21 16:34:01.587381,Retransmission,1,4
2020-04-21 16:34:01.587526,,2,4
2020-04-21 16:34:01.587527,,4,4
2020-04-21 16:34:01.587528,Triple Duplicate,5,2
2020-04-21 16:34:01.587529,,6,2
2020-04-21 16:34:01.587529,,7,2
2020-04-21 16:34:01.587530,Triple Duplicate,6,3
2020-04-21 16:34:01.587531,,7,3
2020-04-21 16:34:01.587531,,8,3
2020-04-21 16:34:01.587532,Triple Duplicate,7,4
2020-04-21 16:34:01.587533,,8,4
2020-04-21 16:34:01.587533,,9,4
2020-04-21 16:34:01.587534,Triple Duplicate,7,4
2020-04-21 16:34:01.587535,,8,4
2020-04-21 16:34:01.587535,,9,4
2020-04-21 16:34:01.587650,Retransmission,1,4
2020-04-21 16:34:01.587750,,2,4
2020-04-21 16:34:01.587752,,4,4
2020-04-21 16:34:01.587753,Triple Duplicate,5,2
2020-04-21 16:34:01.587754,,6,2
2020-04-21 16:34:01.587754,,7,2
2020-04-21 16:34:01.587755,Triple Duplicate,6,3
2020-04-21 16:34:01.587756,,7,3
2020-04-21 16:34:01.587757,,8,3
2020-04-21 16:34:01.587758,Triple Duplicate,7,4
2020-04-21 16:34:01.587759,,8,4
2020-04-21 16:34:01.587761,,9,4
2020-04-21 16:34:01.589713,Retransmission,1,4
2020-04-21 16:34:01.589835,,2,4
2020-04-21 16:34:01.589836,,4,4
2020-04-21 16:34:01.589837,Triple Duplicate,5,2
2020-04-21 16:34:01.589838,,6,2
2020-04-21 16:34:01.589838,,7,2
2020-04-21 16:34:01.589840,Triple Duplicate,6,3
2020-04-21 16:34:01.710890,Retransmission,1,3
2020-04-21 16:34:01.711018,,2,3
2020-04-21 16:34:01.711020,,4,3
2020-04-21 16:34:01.711021,Triple Duplicate,5,2
2020-04-21 16:34:01.711022,,6,2
2020-04-21 16:34:01.711024,,7,2
2020-04-21 16:34:01.711024,Triple Duplicate,6,3
2020-04-21 16:34:01.711025,,7,3
2020-04-21 16:34:01.711027,,8,3
2020-04-21 16:34:01.711028,Triple Duplicate,7,4
2020-04-21 16:34:01.712477,Retransmission,1,3
2020-04-21 16:34:01.712579,,2,3
2020-04-21 16:34:01.712580,,4,3
2020-04-21 16:34:01.714452,Retransmission,1,2
2020-04-21 16:34:01.714608,,2,2
2020-04-21 16:34:01.714610,,3,2
2020-04-21 16:34:01.714610,Triple Duplicate,4,1
2020-04-21 16:34:01.714611,,5,1
2020-04-21 16:34:01.714612,,6,1
2020-04-21 16:34:01.714613,Triple Duplicate,6,3
2020-04-21 16:34:01.714614,,7,3
2020-04-21 16:34:01.714615,,8,3
2020-04-21 16:34:01.714616,Triple Duplicate,7,4
2020-04-21 16:34:01.714617,,8,4
2020-04-21 16:34:01.714618,,9,4
2020-04-21 16:34:01.714619,Triple Duplicate,7,4
2020-04-21 16:34:01.714620,,8,4
2020-04-21 16:34:01.714621,,9,4
2020-04-21 16:34:01.714622,Triple Duplicate,7,4
2020-04-21 16:34:01.714623,,8,4
2020-04-21 16:34:01.715403,Retransmission,1,4
2020-04-21 16:34:01.715521,,2,4
2020-04-21 16:34:01.715522,,4,4
2020-04-21 16:34:01.715523,Triple Duplicate,5,2
2020-04-21 16:34:01.715523,,6,2
2020-04-21 16:34:01.715928,Retransmission,1,3
2020-04-21 16:34:01.716030,,2,3
2020-04-21 16:34:01.716031,,4,3
2020-04-21 16:34:01.716032,Triple Duplicate,5,2
2020-04-21 16:34:01.716033,,6,2
2020-04-21 16:34:01.716034,,7,2
2020-04-21 16:34:01.716035,Triple Duplicate,6,3
2020-04-21 16:34:01.716036,,7,3
2020-04-21 16:34:01.716037,,8,3
